project_id,department,project_name,Status,Contractor,timestamp,contract_exists,specification_exists,initiation_exists,agreement_exists,budget_exists,deliverable1_exists,deliverable2_exists,completion_exists,certificate_exists,evaluation_exists,contract_count,specification_count,initiation_count,agreement_count,budget_count,deliverable1_count,deliverable2_count,completion_count,certificate_count,evaluation_count
20060167,도로부,함양~울산고속도로(함양~밀양) 기본설계용역(제9공구) ,준공,주관사,2025-03-03 06:53:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070089,도로부,인천가정 경명로 연결도로외 3개도로 기본 및 실시설계용역,준공,비주관사,2025-03-03 06:53:44,1,1,1,1,1,1,1,1,1,0,3,3,3,3,1,3,3,3,2,0
20180019,도로부,고레-마샤-테피 도로 디자인 빌드 프로젝트 개념설계 검토 및 시공감리용역,진행,주관사,2025-03-03 06:53:44,1,0,0,1,1,1,1,1,1,0,3,0,0,3,3,3,1,3,3,0
20180076,도로부,영락공원 진입도로 개설공사 외 4개소 기본 및 실시설계용역,준공,주관사,2025-03-03 06:53:44,1,1,1,1,1,1,1,1,1,0,3,3,3,1,3,3,3,3,3,0
20190011,도로부,Project Implementation Consultants for SASEC Road Connectivity Project-II(방글라데시),진행,비주관사,2025-03-03 06:53:44,1,1,0,1,1,0,0,0,0,0,3,1,0,3,3,0,0,0,0,0
20200131,도로부,미얀마 GMS Highway Modernization Project 설계 및 감리용역,진행,비주관사,2025-03-03 06:53:44,1,1,0,1,1,0,0,0,0,1,3,2,0,3,3,0,0,0,0,1
20200184,도로부,네팔 SASEC Highway Improvement Projcet,진행,주관사,2025-03-03 06:53:44,1,0,0,1,1,1,1,1,1,0,3,0,0,3,3,3,1,3,3,0
20210210,도로부,용인 포곡스마트 물류단지 진입도로 설계 및 건설단계 건설사업관리용역,진행,주관사,2025-03-03 06:53:44,1,1,1,0,1,1,1,1,0,0,3,3,3,0,2,3,3,3,0,0
20210235,도로부,신림~봉천 터널 도로건설공사(1공구) 환기소 이전 설계비 인력지원,준공,주관사,2025-03-03 06:53:44,1,1,1,0,1,1,1,1,0,0,3,3,1,0,2,3,3,3,0,0
20210251,도로부,국도37호선 양평옥천-가평설악 도로건설공사 기본 및 실시설계용역,준공,비주관사,2025-03-03 06:53:44,1,1,1,1,1,1,1,1,1,0,2,3,3,3,3,3,3,3,3,0
20220020,도로부,남원 주천~고기 국가지원지방도 시설개량공사 기본 및 실시설계용역,진행,비주관사,2025-03-03 06:53:44,1,1,1,1,1,1,1,1,1,0,3,3,3,3,3,3,3,3,1,0
20220166,도로부,풍암교차로 정체구간 교통처리 개선사업 기본 및 실시설계용역,준공,주관사,2025-03-03 06:53:44,1,1,1,1,1,1,1,1,1,0,3,3,3,3,3,3,3,3,3,0
20220170,도로부,신림~봉천터널 도로건설공사(1공구) 지하차도진출입부 위치변경 설계용역 인력지원,진행,주관사,2025-03-03 06:53:44,1,1,1,0,1,1,1,1,0,0,3,3,1,0,2,3,3,2,0,0
20220218,도로부,제천~영월간 고속도로 건설공사 기본 및 실시설계(제4공구),진행,주관사,2025-03-03 06:53:44,1,1,1,1,1,1,1,1,1,0,3,3,3,3,3,3,2,3,3,0
20230018,도로부,제2경춘국도(남양주~춘천) 도로건설공사(제3공구) 실시설계용역,진행,비주관사,2025-03-03 06:53:44,1,1,1,1,1,1,1,1,1,0,3,3,3,3,3,3,3,3,2,0
20230040,도로부,신림~봉천 터널 도로건설공사(1공구) 환기시설 기준 변경 설계 인력지원,진행,주관사,2025-03-03 06:53:44,1,1,0,0,1,0,0,1,0,0,2,3,0,0,3,0,0,3,0,0
20230066,도로부,국지도23호선 안성 대덕~용인 남사 도로건설공사 등 사전기획조사용역,준공,주관사,2025-03-03 06:53:44,1,1,1,1,1,1,0,1,1,0,1,3,3,1,3,3,0,3,3,0
20230136,도로부,호국로(학정삼거리) 입체화사업 기본 및 실시설계용역,준공,주관사,2025-03-03 06:53:44,1,1,1,1,1,1,1,1,1,0,3,3,3,3,3,3,3,3,2,0
20230149,도로부,수서역세권 공공주택지구 조사설계용역 중 밤고개로 보완설계 및 실시계획 변경인가,진행,주관사,2025-03-03 06:53:44,1,1,0,1,1,1,1,1,1,0,3,3,0,1,1,3,3,3,2,0
20230153,도로부,고속국도 제55호 중앙선(김해공항~대동) 확장공사 타당성 및 기본설계 엔지니어링,진행,주관사,2025-03-03 06:53:44,1,1,1,1,1,1,1,1,1,0,3,3,3,3,3,3,3,3,3,0
20230185,도로부,성남~장호원(6-1공구) STA.1+742지점 교량설계 용역,진행,주관사,2025-03-03 06:53:44,1,1,0,0,1,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0
20230191,도로부,소양교 보도육교 실시설계 용역계약,진행,주관사,2025-03-03 06:53:44,1,1,0,0,1,1,1,1,0,0,2,2,0,0,1,2,3,2,0,0
20230193,도로부,2023년 6~7월 집중호우 지방도 재해복구사업 실시설계용역,준공,주관사,2025-03-03 06:53:44,1,1,1,1,1,1,1,1,1,0,2,3,3,3,3,3,3,3,3,0
20240004,도로부,국도31호선 영월군 북면 문곡~연덕 도로 조사 기술지원,준공,주관사,2025-03-03 06:53:44,1,1,1,1,1,1,1,1,0,0,1,3,2,3,1,3,3,3,0,0
